hardware_vendor,n,median_baseline,mean_baseline,sd_baseline
Kaytus Systems Pte. Ltd.,2,20.4,20.4,0.5656854249492386
ASRock Rack Inc.,8,20.049999999999997,20,2.5900910077778017
"Compal Electronics, Inc.",2,15.9,15.9,2.687005768508881
"IEIT Systems Co., Ltd.",32,14.5,14.359375,0.9876199396333034
Nettrix,25,14.5,13.7992,1.6025030421187971
"Inspur Electronic Information Industry Co., Ltd.",9,13.6,13.544444444444444,1.8782379449307745
Quanta Cloud Technology,20,13.5,12.874,2.5148242587965424
Esconet Technologies Ltd.,16,13.45,12.85,1.634625339336204
xFusion,375,13.4,13.4884,1.8173710518512591
Fujitsu,101,12.6,13.175247524752475,3.210101429568669
ASUSTeK Computer Inc.,424,12.5,12.717382075471699,2.785976616395249
FusionStor,2,12.1,12.1,1.4142135623730951
Fusionstor,10,12.1,11.964,1.5593317657110546
Dell Inc.,1934,11.7,11.782368148914168,2.855723919958703
Hitachi Vantara,1,11.6,11.6,NA
"New H3C Technologies Co., Ltd.",276,11.6,11.82713768115942,2.2592546146245316
Hewlett Packard Enterprise,1507,11.5,11.903092236230922,3.1474723295355607
Tyrone Systems,249,11.4,11.508875502008031,2.119795414980709
Cisco Systems,901,11.2,11.689589345172031,3.0217999323540994
Inspur Corporation,19,11,10.370526315789474,2.339875290324039
Lenovo Global Technology,2694,10.3,11.30916852264291,3.143320430088646
Nokia,1,10.2,10.2,NA
Supermicro,380,10.149999999999999,10.699947368421052,3.159206172186861
"GIGA-BYTE TECHNOLOGY CO., LTD.",3,8.93,10.556666666666667,2.8957612700865614
Huawei,514,8.87,8.653112840466926,1.4451126341063885
NEC Corporation,286,8.844999999999999,8.83527972027972,1.850120837800732
Epsylon Sp. z o.o. Sp. Komandytowa,3,8.74,8.616666666666667,0.22233608194203094
Sugon,2,8.645,8.645,0.007071067811865324
Sun Microsystems,1,1,1,NA
